bbm,platform_record,match_type,quadrant,confidence,justification,breakdown,review_required,accepted,llm_reason,guardrail,synonym_match,synonym_evidence,candidate_group_size,candidate_group_ids,bbm_sci_name,bbm_genus,bbm_species,bbm_collector,bbm_date,bbm_locality,platform_sci_name,platform_genus,platform_species,platform_collector,platform_date,platform_locality
BBM:F031730,MO:195365,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F031730; MO:195365,collybia succinea,collybia,succinea,,2005-06-10,"victoria, highlands, bocking property, n end of hazlit creek road",collybia succinea,collybia,succinea,oluna & adolf ceska,2005-06-10,"bocking property, 405 hazlitt creek rd., highlands, vancouver island, british columbia, canada"
BBM:F024522,MO:64899,similar,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),"01,05",False,True,,,False,,2,BBM:F024522; MO:64899,lepiota clypelarioides,lepiota,clypelarioides,,2010-09-22,"victoria, saanich peninsula, observatory hill; below the paved road, below the hairpin curve, to the property line, with the patch of tsuga heterophylla",lepiota clypeolarioides,lepiota,clypeolarioides,oluna & adolf ceska,2010-09-22,"observatory hill, victoria, british columbia, canada"
BBM:F025121,MO:71513,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025121; MO:71513,lepiota clypeolarioides,lepiota,clypeolarioides,,2011-06-30,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",lepiota clypeolarioides,lepiota,clypeolarioides,oluna & adolf ceska,2011-06-30,"observatory hill, victoria, british columbia, canada"
BBM:F025199,MO:159753,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F025199; MO:159753,lepiota josserandii,lepiota,josserandii,,2011-10-25,"victoria, saanich peninsula, observatory hill; disturbed area in front of the administrative building",lepiota josserandii,lepiota,josserandii,oluna & adolf ceska,2011-10-25,"observatory hill, victoria, british columbia, canada"
BBM:F026257,MO:152307,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F026257; MO:152307,lepiota felina,lepiota,felina,,2013-11-06,"victoria, saanich peninsula, observatory hill; between the paved road and the ephemeral creek",lepiota felina,lepiota,felina,oluna & adolf ceska,2013-11-06,"observatory hill, victoria, british columbia, canada"
BBM:F028896,MO:174766,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F028896; MO:174766,lepiota ventriosospora,lepiota,ventriosospora,,2006-10-12,"vancouver island, w of sooke, n of muir creek mouth",lepiota ventriosospora,lepiota,ventriosospora,oluna & adolf ceska,2006-10-12,"muir creek, w of sooke, vancouver island, british columbia, canada"
BBM:F029428,MO:191204,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F029428; MO:191204,lepiota pseudoasperula,lepiota,pseudoasperula,,2007-10-29,"victoria, saanich peninsula, observatory hill; forest margin behind the smaller dome",lepiota pseudoasperula,lepiota,pseudoasperula,oluna & adolf ceska,2007-10-29,"observatory hill, victoria, british columbia, canada"
BBM:F029498,MO:72825,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,"01,02",False,True,,,False,,4,BBM:F029498; BBM:F029637; BBM:F029654; MO:72825,lepiota castanea,lepiota,castanea,,2007-11-10,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota castanea,lepiota,castanea,oluna & adolf ceska,2007-12-24,"observatory hill, victoria, british columbia, canada"
BBM:F029637,MO:72825,similar,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,4,BBM:F029498; BBM:F029637; BBM:F029654; MO:72825,lepiota castanea,lepiota,castanea,,2007-12-24,"victoria, saanich peninsula, observatory hill; along the west saanich rd. at the w base of observatory hill",lepiota castanea,lepiota,castanea,oluna & adolf ceska,2007-12-24,"observatory hill, victoria, british columbia, canada"
BBM:F029654,MO:72825,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,"01,02",False,True,,,False,,4,BBM:F029498; BBM:F029637; BBM:F029654; MO:72825,lepiota castanea,lepiota,castanea,,2007-12-31,"victoria, saanich peninsula, observatory hill; mixed forest between the paved road and the ephemeral creek",lepiota castanea,lepiota,castanea,oluna & adolf ceska,2007-12-24,"observatory hill, victoria, british columbia, canada"
BBM:F029839,MO:65024,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,3,BBM:F029839; BBM:F029988; MO:65024,lepiota boudieri,lepiota,boudieri,,2008-10-17,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota boudieri,lepiota,boudieri,oluna & adolf ceska,2008-11-22,"observatory hill, victoria, british columbia, canada"
BBM:F029988,MO:65024,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,3,BBM:F029839; BBM:F029988; MO:65024,lepiota boudieri,lepiota,boudieri,,2008-12-07,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota boudieri,lepiota,boudieri,oluna & adolf ceska,2008-11-22,"observatory hill, victoria, british columbia, canada"
BBM:F029840,MO:166103,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F029840; MO:166103,lepiota cristata,lepiota,cristata,,2008-10-17,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota cristata,lepiota,cristata,oluna & adolf ceska,2008-10-17,"observatory hill, victoria, british columbia, canada"
BBM:F029841,MO:166104,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F029841; MO:166104,lepiota josserandii,lepiota,josserandii,,2008-10-17,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota josserandii,lepiota,josserandii,oluna & adolf ceska,2008-10-17,"observatory hill, victoria, british columbia, canada"
BBM:F029842,MO:63927,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F029842; MO:63927,lepiota tomentella,lepiota,tomentella,,2008-10-17,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",lepiota tomentella,lepiota,tomentella,oluna & adolf ceska,2008-10-17,"observatory hill, victoria, british columbia, canada"
BBM:F031421,MO:196190,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031421; MO:196190,lepiota cristata,lepiota,cristata,,2004-09-18,"metchosin, pearson college, forest near the first trail in th property from the pearson college road",lepiota cristata,lepiota,cristata,oluna & adolf ceska,2004-09-18,"pearson college, metchosin, vancouver island, british columbia, canada"
BBM:F031428,MO:196415,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031428; MO:196415,lepiota castanea,lepiota,castanea,,2004-09-23,"metchosin, along galloping goose trail behind pearson college",lepiota castanea,lepiota,castanea,oluna & adolf ceska,2004-09-23,"galloping goose trail, behind pearson college, metchosin, british columbia, canada"
BBM:F031430,MO:196364,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031430; MO:196364,lepiota josserandii,lepiota,josserandii,,2004-09-23,"metchosin, along galloping goose trail behind pearson college",lepiota josserandii,lepiota,josserandii,oluna & adolf ceska,2004-09-23,"galloping goose trail, behind pearson college, metchosin, british columbia, canada"
BBM:F031431,MO:196363,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031431; MO:196363,lepiota roseifolia,lepiota,roseifolia,,2004-09-23,"metchosin, along galloping goose trail behind pearson college",lepiota roseifolia,lepiota,roseifolia,oluna & adolf ceska,2004-09-23,"galloping goose trail, behind pearson college, metchosin, british columbia, canada"
BBM:F032485,MO:224045,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F032485; MO:224045,lepiota boudieri,lepiota,boudieri,,2006-12-16,"saanich, observatory hill, below the paved road",lepiota boudieri,lepiota,boudieri,oluna & adolf ceska,2006-12-16,"observatory hill, victoria, british columbia, canada"
BBM:F025169,MO:77817,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F025169; MO:77817,marasmius limosus,marasmius,limosus,,2011-09-28,"victoria, saanich peninsula, observatory hill; e-slope, below the paved road, along the wetland",marasmius limosus,marasmius,limosus,oluna & adolf ceska,2011-09-28,"observatory hill, victoria, british columbia, canada"
BBM:F027096,MO:63640,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,3,BBM:F027096; BBM:F027229; MO:63640,marasmius salalis,marasmius,salalis,,2009-10-27,"victoria, saanich peninsula, observatory hill; e-slope, just above the hairpin curve",marasmius salalis,marasmius,salalis,oluna & adolf ceska,2009-11-04,"observatory hill, victoria, british columbia, canada"
BBM:F027229,MO:63640,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,3,BBM:F027096; BBM:F027229; MO:63640,marasmius salalis,marasmius,salalis,,2009-11-24,"victoria, saanich peninsula, observatory hill; southern slope above the main gate on the left side of the road going up",marasmius salalis,marasmius,salalis,oluna & adolf ceska,2009-11-04,"observatory hill, victoria, british columbia, canada"
