platform,record_a,record_b,match_type,breakdown
BBM,BBM:F005538,BBM:F005542,similar,06
BBM,BBM:F005539,BBM:F005541,similar,06
BBM,BBM:F005539,BBM:F005542,similar,06
BBM,BBM:F005541,BBM:F005542,similar,06
BBM,BBM:F005543,BBM:F005544,similar,06
BBM,BBM:F005547,BBM:F005550,similar,06
BBM,BBM:F005547,BBM:F035013,similar,06
BBM,BBM:F005550,BBM:F035013,similar,06
BBM,BBM:F005549,BBM:F005552,similar,06
BBM,BBM:F005549,BBM:F005562,similar,06
BBM,BBM:F005549,BBM:F005564,similar,06
BBM,BBM:F005549,BBM:F005567,similar,06
BBM,BBM:F005549,BBM:F005569,similar,06
BBM,BBM:F005552,BBM:F005562,similar,06
BBM,BBM:F005552,BBM:F005564,similar,06
BBM,BBM:F005552,BBM:F005567,similar,06
BBM,BBM:F005552,BBM:F005569,similar,06
BBM,BBM:F005562,BBM:F005564,similar,06
BBM,BBM:F005562,BBM:F005567,similar,06
BBM,BBM:F005562,BBM:F005569,similar,06
BBM,BBM:F005564,BBM:F005567,similar,06
BBM,BBM:F005564,BBM:F005569,similar,06
BBM,BBM:F005567,BBM:F005569,similar,06
BBM,BBM:F005553,BBM:F005585,similar,06
BBM,BBM:F005553,BBM:F005586,similar,06
BBM,BBM:F005585,BBM:F005586,similar,06
BBM,BBM:F005554,BBM:F005561,similar,06
BBM,BBM:F005555,BBM:F005557,similar,06
BBM,BBM:F005556,BBM:F005560,similar,06
BBM,BBM:F005558,BBM:F005579,similar,06
BBM,BBM:F005568,BBM:F005575,similar,06
BBM,BBM:F005568,BBM:F035297,similar,06
BBM,BBM:F005575,BBM:F035297,similar,06
BBM,BBM:F005570,BBM:F005581,strict,06
BBM,BBM:F005572,BBM:F005582,strict,06
BBM,BBM:F005574,BBM:F005576,similar,06
BBM,BBM:F005574,BBM:F005584,similar,06
BBM,BBM:F005576,BBM:F005584,similar,06
BBM,BBM:F005597,BBM:F028658,similar,06
BBM,BBM:F005609,BBM:F005610,strict,06
BBM,BBM:F005612,BBM:F005619,strict,06
BBM,BBM:F005614,BBM:F005663,similar,06
BBM,BBM:F005615,BBM:F035607,similar,06
BBM,BBM:F005617,BBM:F005631,similar,06
BBM,BBM:F005617,BBM:F005632,similar,06
BBM,BBM:F005631,BBM:F005632,similar,06
BBM,BBM:F005618,BBM:F005621,similar,06
BBM,BBM:F005618,BBM:F005622,similar,06
BBM,BBM:F005618,BBM:F005624,similar,06
BBM,BBM:F005618,BBM:F005651,similar,06
BBM,BBM:F005618,BBM:F005652,similar,06
BBM,BBM:F005618,BBM:F005653,similar,06
BBM,BBM:F005618,BBM:F013424,similar,06
BBM,BBM:F005618,BBM:F013426,similar,06
BBM,BBM:F005621,BBM:F005622,similar,06
BBM,BBM:F005621,BBM:F005624,similar,06
BBM,BBM:F005621,BBM:F005651,similar,06
BBM,BBM:F005621,BBM:F005652,similar,06
BBM,BBM:F005621,BBM:F005653,similar,06
BBM,BBM:F005621,BBM:F013424,similar,06
BBM,BBM:F005621,BBM:F013426,similar,06
BBM,BBM:F005622,BBM:F005624,similar,06
BBM,BBM:F005622,BBM:F005651,similar,06
BBM,BBM:F005622,BBM:F005652,similar,06
BBM,BBM:F005622,BBM:F005653,similar,06
BBM,BBM:F005622,BBM:F013424,similar,06
BBM,BBM:F005622,BBM:F013426,similar,06
BBM,BBM:F005624,BBM:F005651,similar,06
BBM,BBM:F005624,BBM:F005652,similar,06
BBM,BBM:F005624,BBM:F005653,similar,06
BBM,BBM:F005624,BBM:F013424,similar,06
BBM,BBM:F005624,BBM:F013426,similar,06
BBM,BBM:F005651,BBM:F005652,similar,06
BBM,BBM:F005651,BBM:F005653,similar,06
BBM,BBM:F005651,BBM:F013424,similar,06
BBM,BBM:F005651,BBM:F013426,similar,06
BBM,BBM:F005652,BBM:F005653,similar,06
BBM,BBM:F005652,BBM:F013424,similar,06
BBM,BBM:F005652,BBM:F013426,similar,06
BBM,BBM:F005653,BBM:F013424,similar,06
BBM,BBM:F005653,BBM:F013426,similar,06
BBM,BBM:F013424,BBM:F013426,similar,06
BBM,BBM:F005626,BBM:F005638,similar,06
BBM,BBM:F005629,BBM:F005645,strict,06
BBM,BBM:F005630,BBM:F013430,similar,06
BBM,BBM:F005636,BBM:F005657,similar,06
BBM,BBM:F005639,BBM:F005641,strict,06
BBM,BBM:F005639,BBM:F005643,strict,06
BBM,BBM:F005641,BBM:F005643,strict,06
BBM,BBM:F005640,BBM:F005648,strict,06
BBM,BBM:F005640,BBM:F005649,strict,06
BBM,BBM:F005648,BBM:F005649,strict,06
BBM,BBM:F005642,BBM:F005650,strict,06
BBM,BBM:F005644,BBM:F005647,similar,06
BBM,BBM:F005644,BBM:F005654,similar,06
BBM,BBM:F005647,BBM:F005654,similar,06
BBM,BBM:F005666,BBM:F005667,similar,06
BBM,BBM:F005666,BBM:F005668,similar,06
BBM,BBM:F005666,BBM:F005669,similar,06
BBM,BBM:F005667,BBM:F005668,similar,06
BBM,BBM:F005667,BBM:F005669,similar,06
BBM,BBM:F005668,BBM:F005669,similar,06
BBM,BBM:F005671,BBM:F005673,strict,06
BBM,BBM:F005677,BBM:F005679,similar,06
BBM,BBM:F011852,BBM:F011855,strict,06
BBM,BBM:F011857,BBM:F034688,similar,06
BBM,BBM:F011857,BBM:F035315,similar,06
BBM,BBM:F034688,BBM:F035315,similar,06
BBM,BBM:F011859,BBM:F012306,similar,06
BBM,BBM:F011859,BBM:F013761,similar,06
BBM,BBM:F011859,BBM:F013762,similar,06
BBM,BBM:F012306,BBM:F013761,similar,06
BBM,BBM:F012306,BBM:F013762,similar,06
BBM,BBM:F013761,BBM:F013762,similar,06
BBM,BBM:F012196,BBM:F012198,similar,06
BBM,BBM:F012196,BBM:F012202,similar,06
BBM,BBM:F012198,BBM:F012202,similar,06
BBM,BBM:F012197,BBM:F012199,strict,06
BBM,BBM:F012305,BBM:F012307,strict,06
BBM,BBM:F012320,BBM:F012337,similar,06
BBM,BBM:F012330,BBM:F012331,strict,06
BBM,BBM:F012926,BBM:F013441,strict,06
BBM,BBM:F013432,BBM:F013433,similar,06
BBM,BBM:F013434,BBM:F013435,similar,06
BBM,BBM:F013434,BBM:F013760,similar,06
BBM,BBM:F013435,BBM:F013760,similar,06
BBM,BBM:F013438,BBM:F013439,similar,06
BBM,BBM:F013438,BBM:F013440,similar,06
BBM,BBM:F013439,BBM:F013440,similar,06
BBM,BBM:F013443,BBM:F013444,similar,06
BBM,BBM:F013443,BBM:F013777,similar,06
BBM,BBM:F013444,BBM:F013777,similar,06
BBM,BBM:F013445,BBM:F013700,similar,06
BBM,BBM:F013445,BBM:F013701,similar,06
BBM,BBM:F013445,BBM:F013771,similar,06
BBM,BBM:F013445,BBM:F013772,similar,06
BBM,BBM:F013445,BBM:F013773,similar,06
BBM,BBM:F013445,BBM:F013774,similar,06
BBM,BBM:F013700,BBM:F013701,similar,06
BBM,BBM:F013700,BBM:F013771,similar,06
BBM,BBM:F013700,BBM:F013772,similar,06
BBM,BBM:F013700,BBM:F013773,similar,06
BBM,BBM:F013700,BBM:F013774,similar,06
BBM,BBM:F013701,BBM:F013771,similar,06
BBM,BBM:F013701,BBM:F013772,similar,06
BBM,BBM:F013701,BBM:F013773,similar,06
BBM,BBM:F013701,BBM:F013774,similar,06
BBM,BBM:F013771,BBM:F013772,similar,06
BBM,BBM:F013771,BBM:F013773,similar,06
BBM,BBM:F013771,BBM:F013774,similar,06
BBM,BBM:F013772,BBM:F013773,similar,06
BBM,BBM:F013772,BBM:F013774,similar,06
BBM,BBM:F013773,BBM:F013774,similar,06
BBM,BBM:F013446,BBM:F013704,similar,06
BBM,BBM:F013448,BBM:F013787,similar,06
BBM,BBM:F013453,BBM:F013454,strict,06
BBM,BBM:F013463,BBM:F013464,strict,06
BBM,BBM:F013463,BBM:F013794,strict,06
BBM,BBM:F013463,BBM:F013795,strict,06
BBM,BBM:F013464,BBM:F013794,strict,06
BBM,BBM:F013464,BBM:F013795,strict,06
BBM,BBM:F013794,BBM:F013795,strict,06
BBM,BBM:F013465,BBM:F013796,strict,06
BBM,BBM:F013466,BBM:F013467,strict,06
BBM,BBM:F013466,BBM:F013468,strict,06
BBM,BBM:F013467,BBM:F013468,strict,06
BBM,BBM:F013476,BBM:F013478,similar,06
BBM,BBM:F013705,BBM:F028643,similar,06
BBM,BBM:F013743,BBM:F013744,similar,06
BBM,BBM:F013751,BBM:F013752,strict,06
BBM,BBM:F013775,BBM:F015208,strict,06
BBM,BBM:F013797,BBM:F013798,strict,06
BBM,BBM:F013804,BBM:F013805,strict,06
BBM,BBM:F013823,BBM:F013825,similar,06
BBM,BBM:F013826,BBM:F013909,strict,06
BBM,BBM:F013826,BBM:F013911,strict,06
BBM,BBM:F013909,BBM:F013911,strict,06
BBM,BBM:F024176,BBM:F024863,similar,06
BBM,BBM:F024963,BBM:F027698,similar,06
mo,MO:87050,MO:88596,strict,06
BBM,BBM:F026509,BBM:F029675,similar,06
BBM,BBM:F026702,BBM:F026703,strict,06
BBM,BBM:F026717,BBM:F027248,similar,06
BBM,BBM:F026717,BBM:F027354,similar,06
BBM,BBM:F027248,BBM:F027354,similar,06
BBM,BBM:F028510,BBM:F028566,similar,06
BBM,BBM:F028511,BBM:F028638,similar,06
BBM,BBM:F028523,BBM:F028617,similar,06
BBM,BBM:F028523,BBM:F028622,similar,06
BBM,BBM:F028617,BBM:F028622,similar,06
BBM,BBM:F028528,BBM:F028580,similar,06
BBM,BBM:F028530,BBM:F028582,similar,06
BBM,BBM:F028530,BBM:F028586,similar,06
BBM,BBM:F028530,BBM:F028678,similar,06
BBM,BBM:F028530,BBM:F028682,similar,06
BBM,BBM:F028530,BBM:F028688,similar,06
BBM,BBM:F028530,BBM:F028695,similar,06
BBM,BBM:F028582,BBM:F028586,similar,06
BBM,BBM:F028582,BBM:F028678,similar,06
BBM,BBM:F028582,BBM:F028682,similar,06
BBM,BBM:F028582,BBM:F028688,similar,06
BBM,BBM:F028582,BBM:F028695,similar,06
BBM,BBM:F028586,BBM:F028678,similar,06
BBM,BBM:F028586,BBM:F028682,similar,06
BBM,BBM:F028586,BBM:F028688,similar,06
BBM,BBM:F028586,BBM:F028695,similar,06
BBM,BBM:F028678,BBM:F028682,similar,06
BBM,BBM:F028678,BBM:F028688,similar,06
BBM,BBM:F028678,BBM:F028695,similar,06
BBM,BBM:F028682,BBM:F028688,similar,06
BBM,BBM:F028682,BBM:F028695,similar,06
BBM,BBM:F028688,BBM:F028695,similar,06
BBM,BBM:F028541,BBM:F028542,strict,06
