bbm,guid,status,breakdown
F000093,14DB4C79-8D0D-AE42-B8F1-0BDCC22A468D,present,
F000094,A6BE952C-FDBE-2C49-98EB-DDDCDB16166F,present,
F000095,DF9F73F5-ED4C-C842-917E-E8543F37F57F,present,
F000096,4A7852A5-F443-3044-BCE4-C2DC6EC49343,present,
F000097,0D6F2F3B-A245-EE40-AED4-2BE84C1EF322,present,
F000098,7B85D2CE-497F-5B43-A47D-EAFAC63D4925,present,
F000099,4C161B46-8935-E44E-BDA6-8C7939BAF799,present,
F000100,51B91FA1-184F-3446-8692-36BC7E5A94E0,present,
F000101,233F1176-4292-0444-BEEC-E5C2ED1E251A,present,
F000102,C5F62B0F-860E-654C-80F1-AA1287D35D0F,present,
F000103,401805DF-7DA7-9743-8C3C-CFD071F62303,present,
F000104,2DB40857-EBF8-7840-A439-B750A03231C0,present,
F000105,05DB653B-9C3F-F94C-95A8-B06B4E2538B5,present,
F000106,5B4757D4-5A5C-5642-BCB7-870137AEBC16,present,
F000107,67FA0C49-48F1-5547-9587-8A01A3DD4F3C,present,
F000108,443609B4-A7F1-7747-9BA9-C96B511CF386,present,
F000109,5B3A1A17-84D5-B54A-99FB-65416D633B93,present,
F000110,819770CA-8D3C-9B4F-9C34-7281C6A2A69B,present,
F000111,C64050C3-66C4-3E43-88DB-DA341F2DFEF2,present,
F000112,7EFD6F5E-AB23-744E-8A2A-6F5B48FB8D33,present,
F000113,DCDDDE92-D0A3-1748-8082-9EA3DC4D1128,present,
F000114,C0560864-1F8C-1A4A-B38F-77791CA34EE0,present,
F000115,0F8AF591-72A1-9342-933C-CC97D90087BD,present,
F000116,66B681BF-F0C6-E24D-87B9-4205C2AB31B0,present,
F000118,83158FB4-14AE-A744-B084-A5B37F5DAE4F,present,
F000119,B8FC2612-50A1-DC4C-B3DA-6F387416ACFA,present,
F000120,D91350B0-FB8F-734F-BA51-B2DFB2D448E4,present,
F000121,FEC0398E-1273-3047-879E-EC669AA9CD62,present,
F000122,EB7F9778-D87C-9F49-A049-68900A4827EA,present,
F000123,12F596C4-B195-4C46-82EB-A8F6886C7DDE,present,
