accession,ubc_F,mo_id,f_in_bbm,ubc_cites_accession,genbank_fetched,voucher_cites_F,breakdown
HQ604332,F19386,76050,True,False,True,True,01
HQ604475,F19375,76049,True,False,True,True,01
HQ604219,F19236,198034,True,False,True,True,01
HQ604436,F19233,75889,True,False,True,True,01
HQ604453,F19354,75671,True,False,True,True,01
HQ604592,F19812,210121,True,False,True,True,01
HQ604400,F19660,74998,True,False,True,True,01
HQ604510,F19655,74901,True,False,True,True,01
FJ157055,F15371,230586,True,False,True,False,01
GQ159824,F17237,73216,True,False,True,True,01
HQ604494,F19464,73209,True,False,True,True,01
HQ604635,F19465,73020,True,False,True,True,01
HQ604240,F19513,72900,True,False,True,True,01
HQ604787,F19521,72897,True,False,True,True,01
HQ604398,F19522,72889,True,False,True,True,01
HQ604559,F19512,64449,True,False,True,True,01
HQ604470,F19502,72858,True,False,True,True,01
HQ604396,F19441,71652,True,False,True,True,01
HQ604297,F19568,71409,True,False,True,True,01
HQ604618,F19239,69333,True,False,True,True,01
HQ604624,F19444,69267,True,False,True,True,01
HQ604622,F19519,69266,True,False,True,True,01
HQ604520,F19421,69087,True,False,True,True,01
GQ159896,F17153,255345,True,False,True,True,01
HQ604818,F19105,270173,True,False,True,True,01
HQ604741,F19710,302885,True,False,True,True,01
GQ159858,F17115,307595,True,False,True,True,01
HQ604416,F19217,156482,True,False,True,True,01
HQ604296,F19540,330089,True,False,True,True,01
HQ604370,F18973,344263,True,False,True,True,01
GQ159879,F17136,344950,True,False,True,True,01
FJ039554,F16333,367172,True,False,True,False,01
MZ817019,F24557,64347,True,False,True,True,01
HQ604312,F19216,156481,True,False,True,True,01
MZ970441,F27944,99127,True,False,True,True,01
MF955077,F28895,69906,True,False,True,False,01
HQ604142,F19222,196543,True,False,True,True,01
MF954668,F26568,65008,True,False,True,False,01
HQ604641,F18918,191409,True,False,True,True,01
HQ604359,F19260,156772,True,False,True,True,01
FJ039547,F16326,140003,True,False,True,False,01
MF955059,F25199,159753,True,False,True,False,01
MF954807,F26281,153552,True,False,True,False,01
HQ604331,F19276,157064,True,False,True,True,01
HQ604162,F19630,131748,True,False,True,True,01
MH718201,F28215,139454,True,False,True,False,01
MZ970440,F27466,68392,True,False,True,True,01
GQ159827,F17240,156142,True,False,True,True,01
MH718192,F22978,83025,True,False,True,True,01
GQ159881,F17138,239899,True,False,True,True,01
HQ604699,F19612,105277,True,False,True,True,01
FJ039595,F25079,187485,True,False,True,False,01
HQ604320,F25079,157825,True,False,True,False,01
KU900858,F25079,196677,True,False,True,False,01
KU900853,F25079,196677,True,False,True,False,01
KY026762,F25079,293813,True,False,True,False,01
KY026763,F25079,293813,True,False,True,False,01
MH718195,F25079,95658,True,False,True,False,01
KX592703,F23801,77609,True,True,True,True,
KX592704,F23801,77609,True,False,True,True,01
KX592705,F23801,77609,True,False,True,True,01
FJ039591,F16370,72823,True,False,True,False,01
HQ604593,F19817,,True,False,True,True,01
HQ604254,F19305,,True,False,True,True,01
FJ039551,F16330,140003,True,False,True,False,01
HQ604163,F19634,131748,True,False,True,True,01
HQ604642,F18922,191409,True,False,True,True,01
HQ604351,F19261,156772,True,False,True,True,01
HQ604339,F19267,,True,False,True,True,01
KP257157,F14444,66878,True,False,True,False,01
KP257150,F27879,,True,False,True,False,01
HQ604537,F19497,,True,False,True,False,01
FJ039596,F16374,,True,False,True,False,01
KU900859,F26416,196677,True,False,True,True,01
KU900854,F26416,196677,True,False,True,True,01
KU900860,F26416,196677,True,False,True,True,01
HQ604289,F19158,117798,True,False,True,True,01
