platform,record_a,record_b,match_type,breakdown
mo,MO:317057,MO:334781,similar,06
mo,MO:317057,MO:400492,similar,06
mo,MO:319674,MO:321413,similar,06
mo,MO:319674,MO:334781,similar,06
mo,MO:319674,MO:400492,similar,06
mo,MO:321413,MO:334781,similar,06
mo,MO:321413,MO:400492,similar,06
mo,MO:334781,MO:400492,similar,06
mo,MO:351372,MO:355505,similar,06
mo,MO:374798,MO:376540,similar,06
mo,MO:374798,MO:414257,similar,06
mo,MO:376540,MO:414257,similar,06
BBM,BBM:F000053,BBM:F000073,similar,06
BBM,BBM:F000065,BBM:F000066,similar,06
BBM,BBM:F000081,BBM:F000082,similar,06
BBM,BBM:F000081,BBM:F000086,similar,06
BBM,BBM:F000082,BBM:F000086,similar,06
BBM,BBM:F000055,BBM:F000063,similar,06
BBM,BBM:F000059,BBM:F000060,similar,06
BBM,BBM:F000094,BBM:F000095,similar,06
BBM,BBM:F000094,BBM:F000098,similar,06
BBM,BBM:F000095,BBM:F000098,similar,06
BBM,BBM:F000113,BBM:F000120,similar,06
BBM,BBM:F000114,BBM:F000115,similar,06
BBM,BBM:F000114,BBM:F000116,similar,06
BBM,BBM:F000114,BBM:F000119,similar,06
BBM,BBM:F000115,BBM:F000116,similar,06
BBM,BBM:F000115,BBM:F000119,similar,06
BBM,BBM:F000116,BBM:F000119,similar,06
BBM,BBM:F000122,BBM:F000123,similar,06
BBM,BBM:F000131,BBM:F000136,similar,06
BBM,BBM:F000137,BBM:F000138,similar,06
mo,MO:165089,MO:300996,similar,06
BBM,BBM:F000141,BBM:F000143,similar,06
BBM,BBM:F000164,BBM:F000173,similar,06
BBM,BBM:F000198,BBM:F000208,similar,06
BBM,BBM:F000218,BBM:F000219,similar,06
BBM,BBM:F000220,BBM:F000229,similar,06
BBM,BBM:F000220,BBM:F000232,similar,06
BBM,BBM:F000220,BBM:F000235,similar,06
BBM,BBM:F000220,BBM:F000236,similar,06
BBM,BBM:F000229,BBM:F000232,similar,06
BBM,BBM:F000229,BBM:F000235,similar,06
BBM,BBM:F000229,BBM:F000236,similar,06
BBM,BBM:F000232,BBM:F000235,similar,06
BBM,BBM:F000232,BBM:F000236,similar,06
BBM,BBM:F000235,BBM:F000236,similar,06
BBM,BBM:F000222,BBM:F000238,similar,06
BBM,BBM:F000234,BBM:F000245,similar,06
BBM,BBM:F000241,BBM:F000248,similar,06
BBM,BBM:F000257,BBM:F000268,similar,06
BBM,BBM:F000261,BBM:F000272,similar,06
BBM,BBM:F000263,BBM:F000264,similar,06
BBM,BBM:F000270,BBM:F000281,similar,06
BBM,BBM:F000286,BBM:F000297,similar,06
BBM,BBM:F000286,BBM:F000298,similar,06
BBM,BBM:F000297,BBM:F000298,similar,06
BBM,BBM:F000294,BBM:F000295,similar,06
BBM,BBM:F000318,BBM:F000321,similar,06
mo,MO:248198,MO:248890,similar,06
BBM,BBM:F000322,BBM:F000323,similar,06
mo,MO:261394,MO:262315,similar,06
BBM,BBM:F000337,BBM:F000360,similar,06
BBM,BBM:F000337,BBM:F000361,similar,06
BBM,BBM:F000360,BBM:F000361,similar,06
BBM,BBM:F000338,BBM:F000345,similar,06
BBM,BBM:F000346,BBM:F000355,similar,06
BBM,BBM:F000349,BBM:F000350,similar,06
BBM,BBM:F000353,BBM:F000359,similar,06
BBM,BBM:F000354,BBM:F000357,similar,06
BBM,BBM:F000389,BBM:F000420,similar,06
BBM,BBM:F000390,BBM:F000408,similar,06
BBM,BBM:F000390,BBM:F000411,similar,06
BBM,BBM:F000390,BBM:F000415,similar,06
BBM,BBM:F000408,BBM:F000411,similar,06
BBM,BBM:F000408,BBM:F000415,similar,06
BBM,BBM:F000411,BBM:F000415,similar,06
BBM,BBM:F000391,BBM:F000399,similar,06
BBM,BBM:F000391,BBM:F000409,similar,06
BBM,BBM:F000391,BBM:F000436,similar,06
BBM,BBM:F000399,BBM:F000409,similar,06
BBM,BBM:F000399,BBM:F000436,similar,06
BBM,BBM:F000409,BBM:F000436,similar,06
BBM,BBM:F000400,BBM:F000406,similar,06
BBM,BBM:F000403,BBM:F000419,similar,06
BBM,BBM:F000429,BBM:F000450,similar,06
BBM,BBM:F000430,BBM:F000448,similar,06
BBM,BBM:F000446,BBM:F000452,similar,06
mo,MO:400073,MO:422688,similar,06
BBM,BBM:F000790,BBM:F000824,similar,06
BBM,BBM:F000790,BBM:F000825,similar,06
BBM,BBM:F000790,BBM:F000826,similar,06
BBM,BBM:F000790,BBM:F000869,similar,06
BBM,BBM:F000824,BBM:F000825,similar,06
BBM,BBM:F000824,BBM:F000826,similar,06
BBM,BBM:F000824,BBM:F000869,similar,06
BBM,BBM:F000825,BBM:F000826,similar,06
BBM,BBM:F000825,BBM:F000869,similar,06
BBM,BBM:F000826,BBM:F000869,similar,06
BBM,BBM:F000814,BBM:F000844,similar,06
BBM,BBM:F000814,BBM:F000845,similar,06
BBM,BBM:F000814,BBM:F000846,similar,06
BBM,BBM:F000814,BBM:F000858,similar,06
BBM,BBM:F000814,BBM:F000916,similar,06
BBM,BBM:F000844,BBM:F000845,similar,06
BBM,BBM:F000844,BBM:F000846,similar,06
BBM,BBM:F000844,BBM:F000858,similar,06
BBM,BBM:F000844,BBM:F000916,similar,06
BBM,BBM:F000845,BBM:F000846,similar,06
BBM,BBM:F000845,BBM:F000858,similar,06
BBM,BBM:F000845,BBM:F000916,similar,06
